date,cellvalue,n_cells,pct_cells
2016-06-15,17,1,9.67305088024763e-5
2016-06-15,21,2518,0.24356742116463534
2016-06-15,NA,853,0.08251112400851228
2016-07-15,3,358,0.034629522151286514
2016-07-15,7,3850,0.3724124588895338
2016-07-15,11,614,0.05939253240472045
2016-07-15,13,15,0.0014509576320371445
2016-07-15,15,988,0.09556974269684658
2016-07-15,17,3,2.901915264074289e-4
2016-07-15,21,2585,0.2500483652544012
2016-07-15,27,1,9.67305088024763e-5
2016-07-15,NA,1924,0.1861094989359644
2016-08-15,3,114,0.011027278003482298
2016-08-15,5,2,1.934610176049526e-4
2016-08-15,7,2016,0.1950087057457922
2016-08-15,11,214,0.02070032888372993
2016-08-15,13,1,9.67305088024763e-5
2016-08-15,14,16,0.0015476881408396208
2016-08-15,15,151,0.014606306829173922
2016-08-15,17,6,5.803830528148578e-4
2016-08-15,21,1744,0.16869800735151866
2016-08-15,27,2,1.934610176049526e-4
2016-08-15,NA,6072,0.587347649448636
2016-09-15,3,68,0.006577674598568389
2016-09-15,7,1544,0.1493519055910234
2016-09-15,11,107,0.010350164441864965
2016-09-15,13,6,5.803830528148578e-4
2016-09-15,14,8,7.738440704198104e-4
2016-09-15,15,218,0.021087250918939832
2016-09-15,17,2,1.934610176049526e-4
2016-09-15,21,1970,0.1905591023408783
2016-09-15,NA,6415,0.6205262139678854
2016-10-15,3,302,0.029212613658347843
2016-10-15,7,3393,0.3282066163668021
2016-10-15,11,329,0.0318243373960147
2016-10-15,13,4,3.869220352099052e-4
2016-10-15,14,2,1.934610176049526e-4
2016-10-15,15,90,0.008705745792222866
2016-10-15,17,2,1.934610176049526e-4
2016-10-15,21,3077,0.2976397755852196
2016-10-15,27,7,6.771135616173341e-4
2016-10-15,NA,3132,0.3029599535693558
2016-11-15,3,562,0.05436254594699168
2016-11-15,7,2722,0.2633004449603405
2016-11-15,11,353,0.034145869607274136
2016-11-15,13,5,4.836525440123815e-4
2016-11-15,15,1297,0.12545946991681176
2016-11-15,17,3,2.901915264074289e-4
2016-11-15,21,5073,0.4907138711549623
2016-11-15,27,1,9.67305088024763e-5
2016-11-15,NA,322,0.03114722383439737
2016-12-15,3,104,0.010059972915457535
2016-12-15,7,331,0.03201779841361965
2016-12-15,11,1545,0.1494486360998259
2016-12-15,13,1,9.67305088024763e-5
2016-12-15,15,2471,0.23902108725091895
2016-12-15,21,5561,0.5379183594505708
2016-12-15,NA,325,0.0314374153608048
2017-01-15,3,130,0.012574966144321919
2017-01-15,11,2189,0.2117430837686206
2017-01-15,13,6,5.803830528148578e-4
2017-01-15,15,2818,0.2725865738053782
2017-01-15,17,3,2.901915264074289e-4
2017-01-15,21,4893,0.4733023795705165
2017-01-15,NA,299,0.028922422131940413
2017-02-15,3,583,0.056393886631843686
2017-02-15,11,4076,0.3942735538788934
2017-02-15,13,12,0.0011607661056297156
2017-02-15,15,2617,0.2531437415360805
2017-02-15,17,4,3.869220352099052e-4
2017-02-15,21,2268,0.21938479396401625
2017-02-15,NA,778,0.07525633584832656
2017-03-15,3,515,0.0498162120332753
2017-03-15,11,5280,0.5107370864770748
2017-03-15,13,3,2.901915264074289e-4
2017-03-15,15,2099,0.20303733797639775
2017-03-15,17,2,1.934610176049526e-4
2017-03-15,21,1571,0.15196362932869026
2017-03-15,NA,868,0.08396208164054943
2017-04-15,3,128,0.012381505126716966
2017-04-15,11,3165,0.3061520603598375
2017-04-15,13,3,2.901915264074289e-4
2017-04-15,15,2618,0.253240472044883
2017-04-15,17,1,9.67305088024763e-5
2017-04-15,21,3938,0.3809247436641517
2017-04-15,27,1,9.67305088024763e-5
2017-04-15,NA,484,0.04681756626039853
2017-05-15,3,22,0.0021280711936544788
2017-05-15,7,72,0.006964596633778294
2017-05-15,11,4390,0.424646933642871
2017-05-15,15,1421,0.1374540530083188
2017-05-15,21,3817,0.369220352099052
2017-05-15,NA,616,0.0595859934223254
2017-06-15,3,1,9.67305088024763e-5
2017-06-15,7,3531,0.3415554265815438
2017-06-15,11,2690,0.2602050686786612
2017-06-15,15,76,0.007351518668988199
2017-06-15,17,1,9.67305088024763e-5
2017-06-15,21,2600,0.2514993228864384
2017-06-15,NA,1439,0.1391952021667634
2017-07-15,3,51,0.004933255948926291
2017-07-15,7,3082,0.298123428129232
2017-07-15,11,461,0.044592764557941575
2017-07-15,14,74,0.007158057651383247
2017-07-15,15,21,0.0020313406848520023
2017-07-15,17,3,2.901915264074289e-4
2017-07-15,21,1041,0.10069645966337783
2017-07-15,NA,5605,0.5421745018378796
2017-08-15,3,25,0.0024182627200619077
2017-08-15,5,1,9.67305088024763e-5
2017-08-15,7,1585,0.15331785645192494
2017-08-15,11,128,0.012381505126716966
2017-08-15,14,7,6.771135616173341e-4
2017-08-15,15,428,0.04140065776745986
2017-08-15,21,1190,0.1151093054749468
2017-08-15,27,2,1.934610176049526e-4
2017-08-15,NA,6972,0.6744051073708648
2017-09-15,3,1,9.67305088024763e-5
2017-09-15,7,939,0.09082994776552525
2017-09-15,11,34,0.0032888372992841944
2017-09-15,14,39,0.0037724898432965758
2017-09-15,15,1,9.67305088024763e-5
2017-09-15,21,937,0.0906364867479203
2017-09-15,NA,8387,0.8112787773263688
2017-10-15,3,6,5.803830528148578e-4
2017-10-15,7,1599,0.1546720835751596
2017-10-15,11,20,0.001934610176049526
2017-10-15,14,27,0.00261172373766686
2017-10-15,15,218,0.021087250918939832
2017-10-15,17,1,9.67305088024763e-5
2017-10-15,21,1110,0.1073708647707487
2017-10-15,27,3,2.901915264074289e-4
2017-10-15,NA,7354,0.7113561617334108
2017-11-15,3,321,0.031050493325594893
2017-11-15,7,3103,0.300154768814084
2017-11-15,11,20,0.001934610176049526
2017-11-15,13,22,0.0021280711936544788
2017-11-15,14,27,0.00261172373766686
2017-11-15,15,184,0.01779841361965564
2017-11-15,17,52,0.005029986457728767
2017-11-15,21,3972,0.3842135809634359
2017-11-15,NA,2637,0.25507835171213
2017-12-15,3,307,0.029696266202360225
2017-12-15,7,3543,0.3427161926871735
2017-12-15,11,514,0.049719481524472815
2017-12-15,13,3,2.901915264074289e-4
2017-12-15,15,566,0.05474946798220159
2017-12-15,17,3,2.901915264074289e-4
2017-12-15,21,4590,0.4439930354033662
2017-12-15,27,6,5.803830528148578e-4
2017-12-15,NA,806,0.0779647900947959
2018-01-15,3,11,0.0010640355968272394
2018-01-15,7,35,0.0033855678080866704
2018-01-15,11,1929,0.1865931514799768
2018-01-15,13,2,1.934610176049526e-4
